"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"OT-1","Epic","","ĐỌC TÀI LIỆU","Done","","","2024/06/27","2024/06/27","2024/07/03","2024/07/03","purple"
"OT-2","Epic","","VIẾT USER STORY","Done","","","2024/07/05","2024/07/05","2024/07/07","2024/07/07","purple"
"OT-3","Epic","","VIẾT SRS","Done","","","2024/07/09","2024/07/09","2024/07/11","2024/07/11","purple"
"OT-4","Epic","","VIẾT SDD","Done","","","2024/07/13","2024/07/13","2024/07/15","2024/07/15","purple"
"OT-5","Epic","","VIẾT STD","Done","","","2024/07/17","2024/07/17","2024/07/19","2024/07/19","purple"
"OT-6","Epic","","MOCKUP","Done","","","2024/07/21","2024/07/21","2024/07/23","2024/07/23","purple"
"OT-7","Epic","","POC","Done","","","2024/07/24","2024/07/24","2024/07/28","2024/07/28","purple"
"OT-8","Epic","","CODE BACKEND","Done","","","2024/07/30","2024/07/30","2024/08/08","2024/08/08","purple"
"OT-9","Epic","","CODE FRONTEND","Done","","","2024/08/09","2024/08/09","2024/08/16","2024/08/16","purple"
"OT-10","Epic","","MÔ TẢ API VÀ HDSD","Done","","","2024/08/17","2024/08/17","2024/08/21","2024/08/21","purple"
"OT-11","Epic","","BÁO CÁO TỔNG KẾT","Done","","","2024/08/20","2024/08/20","2024/08/24","2024/08/24","purple"
